index	EDU_1	EDU_2	Relation	num_of_words_1	avg_word_len_1	upcase_words_num_1	num_unique_words_1	count_words_title_1	mean_word_len_1	words_vs_unique_1	num_of_words_2	avg_word_len_2	upcase_words_num_2	num_unique_words_2	count_words_title_2	mean_word_len_2	words_vs_unique_2	bleu_score	nouns_count_1	verbs_count_1	adj_count_1	adv_count_1	aux_count_1	num_count_1	vbd_count_1	nouns_vs_words_1	adjectives_vs_words_1	verbs_vs_words_1	adp_count_1	cconj_count_1	sconj_count_1	part_count_1	pron_count_1	nouns_count_2	verbs_count_2	adj_count_2	adv_count_2	aux_count_2	num_count_2	vbd_count_2	nouns_vs_words_2	adjectives_vs_words_2	verbs_vs_words_2	adp_count_2	cconj_count_2	sconj_count_2	part_count_2	pron_count_2
10	ну история проста как мир	человек падок на воровство	evaluation_r	5	4.2	0	5	0	4.2	1.0	4	5.75	0	4	0	5.75	1.0	0.7337993857053428	2	0	1	0	0	0	0	0.4	0.2	0.0	0	0	1	1	0	2	0	1	0	0	0	0	0.5	0.25	0.0	1	0	0	0	0
11	человек падок на воровство	вот тем более мальчишки	evaluation_r	4	5.75	0	4	0	5.75	1.0	4	5.0	0	4	0	5.0	1.0	0.659873445333596	2	0	1	0	0	0	0	0.5	0.25	0.0	1	0	0	0	0	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	0	1	1
12	вот тем более мальчишки	человек собирает груши	preparation_r	4	5.0	0	4	0	5.0	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.8399868012166095	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	0	1	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
13	которые когда уже готовые в корзине собранные груши	вот тем более мальчишки	elaboration_r	8	5.5	0	8	0	5.5	1.0	4	5.0	0	4	0	5.0	1.0	0.25448032859928216	2	1	1	1	0	0	0	0.25	0.125	0.125	1	0	1	0	1	1	0	0	1	0	0	0	0.25	0.0	0.0	0	0	0	1	1
14	ну вот аккуратно их складывает	человек собирает груши	sequence_m	5	5.2	0	5	0	5.2	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.5545330196192746	0	1	0	1	0	0	0	0.0	0.0	0.2	0	0	0	2	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
15	мальчик приезжает	человек собирает груши	sequence_m	2	8.0	0	2	0	8.0	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.7071067811865476	1	1	0	0	0	0	0	0.5	0.0	0.5	0	0	0	0	0	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
16	видит одну из корзин	человек собирает груши	sequence_m	4	4.25	0	4	0	4.25	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.7071067811865476	1	1	0	0	0	1	0	0.25	0.0	0.25	1	0	0	0	0	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
17	думает	на одну меньше будет	evaluation_r	1	6.0	0	1	0	6.0	1.0	4	4.25	0	4	0	4.25	1.0	0.5477225575051661	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	0	0	0	1	2	0	0.0	0.0	0.0	1	0	0	0	0
18	на одну меньше будет	человек собирает груши	evaluation_r	4	4.25	0	4	0	4.25	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.7071067811865476	0	0	0	0	1	2	0	0.0	0.0	0.0	1	0	0	0	0	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
19	ничего страшного	на одну меньше будет	evaluation_r	2	7.5	0	2	0	7.5	1.0	4	4.25	0	4	0	4.25	1.0	0.6324555320336759	0	0	1	0	0	0	0	0.0	0.5	0.0	0	0	0	0	1	0	0	0	0	1	2	0	0.0	0.0	0.0	1	0	0	0	0
20	вот у него велосипед	человек собирает груши	sequence_m	4	4.25	0	4	0	4.25	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.7977240352174656	1	0	0	0	0	0	0	0.25	0.0	0.0	1	0	0	1	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
21	он на велосипеде	вот у него велосипед	restatement_r	3	4.666666666666667	0	3	0	4.666666666666667	1.0	4	4.25	0	4	0	4.25	1.0	0.8366600265340756	1	0	0	0	0	0	0	0.3333333333333333	0.0	0.0	1	0	0	0	1	1	0	0	0	0	0	0	0.25	0.0	0.0	1	0	0	1	1
22	поэтому большую корзину так бы он не дотащил	вот у него велосипед	cause_r	8	4.625	0	8	0	4.625	1.0	4	4.25	0	4	0	4.25	1.0	0.2519971573303729	1	1	1	2	0	0	0	0.125	0.125	0.125	0	0	0	2	1	1	0	0	0	0	0	0	0.25	0.0	0.0	1	0	0	1	1
23	а на велосипед он поставил ее	вот у него велосипед	contrast_m	6	4.0	0	6	0	4.0	1.0	4	4.25	0	4	0	4.25	1.0	0.6049071778103969	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	1	1	0	0	2	1	0	0	0	0	0	0	0.25	0.0	0.0	1	0	0	1	1
24	и едет	а на велосипед он поставил ее	sequence_m	2	2.5	0	2	0	2.5	1.0	6	4.0	0	6	0	4.0	1.0	0.4548588261473421	0	1	0	0	0	0	0	0.0	0.0	0.5	0	1	0	0	0	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	1	1	0	0	2
25	везет	а на велосипед он поставил ее	sequence_m	1	5.0	0	1	0	5.0	1.0	6	4.0	0	6	0	4.0	1.0	0.3713906763541037	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	1	1	0	0	0	0	0	0.16666666666666666	0.0	0.16666666666666666	1	1	0	0	2
26	я сначала думала	что будут груши падать	evaluation_r	3	4.666666666666667	0	3	0	4.666666666666667	1.0	4	4.75	0	4	0	4.75	1.0	0.5640760748177662	0	1	0	1	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	0	1	1	1	0	0	1	0	0	0.25	0.0	0.25	0	0	1	0	0
27	что будут груши падать	вот у него велосипед	evaluation_r	4	4.75	0	4	0	4.75	1.0	4	4.25	0	4	0	4.25	1.0	0.6398166741645539	1	1	0	0	1	0	0	0.25	0.0	0.25	0	0	1	0	0	1	0	0	0	0	0	0	0.25	0.0	0.0	1	0	0	1	1
28	и будет дорожка	что будут груши падать	joint_m	3	4.333333333333333	0	3	0	4.333333333333333	1.0	4	4.75	0	4	0	4.75	1.0	0.7071067811865476	1	1	0	0	0	0	0	0.3333333333333333	0.0	0.3333333333333333	0	1	0	0	0	1	1	0	0	1	0	0	0.25	0.0	0.25	0	0	1	0	0
29	показали	несколько груш упало	evidence_r	1	8.0	0	1	0	8.0	1.0	3	6.0	0	3	0	6.0	1.0	0.5	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	1	1	0	0	0	1	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0
30	несколько груш упало	что будут груши падать	concession_r	3	6.0	0	3	0	6.0	1.0	4	4.75	0	4	0	4.75	1.0	0.7071067811865476	1	1	0	0	0	1	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0	1	1	0	0	1	0	0	0.25	0.0	0.25	0	0	1	0	0
31	но потом все	несколько груш упало	antithesis_r	3	3.3333333333333335	0	3	0	3.3333333333333335	1.0	3	6.0	0	3	0	6.0	1.0	0.6708203932499369	0	0	0	1	0	0	0	0.0	0.0	0.0	0	1	0	0	1	1	1	0	0	0	1	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0
32	а мимо едет девочка тоже на велосипеде шутница	человек собирает груши	sequence_m	8	4.875	0	8	0	4.875	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.30384291483556736	3	1	0	1	0	0	0	0.375	0.0	0.125	1	1	0	1	0	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
33	и она пытается вернее она сняла с него шляпу	а мимо едет девочка тоже на велосипеде шутница	sequence_m	9	4.0	0	8	0	4.0	0.8888888888888888	8	4.875	0	8	0	4.875	1.0	0.8075728530872482	1	2	0	1	0	0	0	0.1111111111111111	0.0	0.2222222222222222	1	1	0	0	3	3	1	0	1	0	0	0	0.375	0.0	0.125	1	1	0	1	0
34	и отвлекла его тем самым от дороги	а мимо едет девочка тоже на велосипеде шутница	cause_r	7	4.0	0	7	0	4.0	1.0	8	4.875	0	8	0	4.875	1.0	0.7661308776828738	1	1	1	0	0	0	0	0.14285714285714285	0.14285714285714285	0.14285714285714285	1	1	0	0	2	3	1	0	1	0	0	0	0.375	0.0	0.125	1	1	0	1	0
35	мальчик не увидел камень	а мимо едет девочка тоже на велосипеде шутница	cause_r	4	5.25	0	4	0	5.25	1.0	8	4.875	0	8	0	4.875	1.0	0.659380473395787	2	1	0	0	0	0	0	0.5	0.0	0.25	0	0	0	1	0	3	1	0	1	0	0	0	0.375	0.0	0.125	1	1	0	1	0
36	упал	а мимо едет девочка тоже на велосипеде шутница	cause_r	1	4.0	0	1	0	4.0	1.0	8	4.875	0	8	0	4.875	1.0	0.29488391230979427	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	3	1	0	1	0	0	0	0.375	0.0	0.125	1	1	0	1	0
37	груши рассыпались у него	а мимо едет девочка тоже на велосипеде шутница	cause_r	4	5.25	0	4	0	5.25	1.0	8	4.875	0	8	0	4.875	1.0	0.5710402407201607	1	1	0	0	0	0	0	0.25	0.0	0.25	1	0	0	0	1	3	1	0	1	0	0	0	0.375	0.0	0.125	1	1	0	1	0
38	а рядом стоят мальчишки	человек собирает груши	sequence_m	4	5.0	0	4	0	5.0	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.7622756011965892	1	1	0	1	0	0	0	0.25	0.0	0.25	0	1	0	0	0	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
39	тоже неправдоподобно	что мальчишки стали помогать ему собирать	evaluation_r	2	9.5	0	2	0	9.5	1.0	6	6.0	0	6	0	6.0	1.0	0.5179697702828122	0	0	1	0	0	0	0	0.0	0.5	0.0	0	0	0	1	0	1	3	0	0	0	0	0	0.16666666666666666	0.0	0.5	0	0	1	0	1
40	что мальчишки стали помогать ему собирать	а это они все-таки ему собрали	evaluation_r	6	6.0	0	6	0	6.0	1.0	6	4.166666666666667	0	6	0	4.166666666666667	1.0	0.63265663481452	1	3	0	0	0	0	0	0.16666666666666666	0.0	0.5	0	0	1	0	1	0	1	0	0	0	0	0	0.0	0.0	0.16666666666666666	0	1	0	1	3
41	нда они обычно смеются	что мальчишки стали помогать ему собирать	cause_r	4	4.75	0	4	0	4.75	1.0	6	6.0	0	6	0	6.0	1.0	0.6048583789091339	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	0	1	1	3	0	0	0	0	0	0.16666666666666666	0.0	0.5	0	0	1	0	1
42	издеваются	нда они обычно смеются	sequence_m	1	10.0	0	1	0	10.0	1.0	4	4.75	0	4	0	4.75	1.0	0.6030226891555273	0	1	0	0	0	0	0	0.0	0.0	1.0	0	0	0	0	0	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	0	1
43	и им больше достанется	нда они обычно смеются	joint_m	4	4.75	0	4	0	4.75	1.0	4	4.75	0	4	0	4.75	1.0	0.8528028654224418	0	1	0	1	0	0	0	0.0	0.0	0.25	0	1	0	0	1	0	1	0	2	0	0	0	0.0	0.0	0.25	0	0	0	0	1
44	а это они все-таки ему собрали	а рядом стоят мальчишки	sequence_m	6	4.166666666666667	0	6	0	4.166666666666667	1.0	4	5.0	0	4	0	5.0	1.0	0.6152044835072327	0	1	0	0	0	0	0	0.0	0.0	0.16666666666666666	0	1	0	1	3	1	1	0	1	0	0	0	0.25	0.0	0.25	0	1	0	0	0
45	даже помогли отряхнуть эти самые брючки штанишки	а это они все-таки ему собрали	sequence_m	7	6.0	0	7	0	6.0	1.0	6	4.166666666666667	0	6	0	4.166666666666667	1.0	0.5206484329381793	2	2	1	0	0	0	0	0.2857142857142857	0.14285714285714285	0.2857142857142857	0	0	0	1	0	0	1	0	0	0	0	0	0.0	0.0	0.16666666666666666	0	1	0	1	3
46	и они но он они собрать-то собрали	а это они все-таки ему собрали	cause_r	7	4.0	0	6	0	4.0	0.8571428571428571	6	4.166666666666667	0	6	0	4.166666666666667	1.0	0.7494536553165972	0	1	0	0	0	0	0	0.0	0.0	0.14285714285714285	0	2	0	1	3	0	1	0	0	0	0	0	0.0	0.0	0.16666666666666666	0	1	0	1	3
47	но он их не угостил	и они но он они собрать-то собрали	antithesis_r	5	3.0	0	5	0	3.0	1.0	7	4.0	0	6	0	4.0	0.8571428571428571	0.6642111641550714	0	1	0	0	0	0	0	0.0	0.0	0.2	0	1	0	1	2	0	1	0	0	0	0	0	0.0	0.0	0.14285714285714285	0	2	0	1	3
48	он их не поблагодарил ничего	но он их не угостил	restatement_r	5	4.8	0	5	0	4.8	1.0	5	3.0	0	5	0	3.0	1.0	0.5714322565523268	0	1	0	0	0	0	0	0.0	0.0	0.2	0	0	0	1	3	0	1	0	0	0	0	0	0.0	0.0	0.2	0	1	0	1	2
49	может быть потому что это ворованное не свое	и они но он они собрать-то собрали	cause_r	8	4.625	0	8	0	4.625	1.0	7	4.0	0	6	0	4.0	0.8571428571428571	0.6129016469185224	0	3	0	1	0	0	0	0.0	0.0	0.375	0	0	1	1	1	0	1	0	0	0	0	0	0.0	0.0	0.14285714285714285	0	2	0	1	3
50	не знаю я	может быть потому что это ворованное не свое	evaluation_r	3	2.3333333333333335	0	3	0	2.3333333333333335	1.0	8	4.625	0	8	0	4.625	1.0	0.3692744729379982	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	1	1	0	3	0	1	0	0	0	0.0	0.0	0.375	0	0	1	1	1
51	вот и когда они уже вдруг увидели шляпу	они поняли	background_r	8	4.0	0	8	0	4.0	1.0	2	4.5	0	2	0	4.5	1.0	0.05219960987247159	1	1	0	2	0	0	0	0.125	0.0	0.125	0	0	1	2	1	0	1	0	0	0	0	0	0.0	0.0	0.5	0	0	0	0	1
52	они поняли	что это его шляпа	background_r	2	4.5	0	2	0	4.5	1.0	4	3.5	0	4	0	3.5	1.0	0.5940885257860046	0	1	0	0	0	0	0	0.0	0.0	0.5	0	0	0	0	1	1	0	0	0	0	0	0	0.25	0.0	0.0	0	0	1	0	1
53	что это его шляпа	человек собирает груши	sequence_m	4	3.5	0	4	0	3.5	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.7071067811865476	1	0	0	0	0	0	0	0.25	0.0	0.0	0	0	1	0	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
54	они ему возвращают шляпу	что это его шляпа	cause_r	4	5.25	0	4	0	5.25	1.0	4	3.5	0	4	0	3.5	1.0	0.5565946437937765	1	1	0	0	0	0	0	0.25	0.0	0.25	0	0	0	0	2	1	0	0	0	0	0	0	0.25	0.0	0.0	0	0	1	0	1
55	и тогда сами берут из корзины по груше	что это его шляпа	sequence_m	8	3.875	0	8	0	3.875	1.0	4	3.5	0	4	0	3.5	1.0	0.25425283060873755	2	1	1	1	0	0	0	0.25	0.125	0.125	2	1	0	0	0	1	0	0	0	0	0	0	0.25	0.0	0.0	0	0	1	0	1
56	один берет вс= для всех	и тогда сами берут из корзины по груше	elaboration_r	5	3.8	0	5	0	3.8	1.0	8	3.875	0	8	0	3.875	1.0	0.6069769786668839	0	1	0	0	0	0	0	0.0	0.0	0.2	1	0	0	0	1	2	1	1	1	0	0	0	0.25	0.125	0.125	2	1	0	0	0
57	ну эти мальчики идут дальше	человек собирает груши	sequence_m	5	4.6	0	5	0	4.6	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.5884045078655646	1	1	0	1	0	0	0	0.2	0.0	0.2	0	0	0	1	0	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
58	и проходят мимо этого дерева	ну эти мальчики идут дальше	sequence_m	5	4.8	0	5	0	4.8	1.0	5	4.6	0	5	0	4.6	1.0	0.6939004273350199	1	1	0	0	0	0	0	0.2	0.0	0.2	1	1	0	0	0	1	1	0	1	0	0	0	0.2	0.0	0.2	0	0	0	1	0
59	а этот ничего не слышащий не видящий садовник	ну эти мальчики идут дальше	antithesis_r	8	4.75	0	7	0	4.75	0.875	5	4.6	0	5	0	4.6	1.0	0.4527913386011618	1	2	0	0	0	0	0	0.125	0.0	0.25	0	1	0	2	1	1	1	0	1	0	0	0	0.2	0.0	0.2	0	0	0	1	0
60	или кто он там	а этот ничего не слышащий не видящий садовник	elaboration_r	4	2.75	0	4	0	2.75	1.0	8	4.75	0	7	0	4.75	0.875	0.5374838498865699	0	0	0	1	0	0	0	0.0	0.0	0.0	0	1	0	0	2	1	2	0	0	0	0	0	0.125	0.0	0.25	0	1	0	2	1
61	ну вот спускается	а этот ничего не слышащий не видящий садовник	joint_m	3	5.0	0	3	0	5.0	1.0	8	4.75	0	7	0	4.75	0.875	0.5374838498865699	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	0	0	2	0	1	2	0	0	0	0	0	0.125	0.0	0.25	0	1	0	2	1
62	и не может понять	а этот ничего не слышащий не видящий садовник	evaluation_r	4	3.5	0	4	0	3.5	1.0	8	4.75	0	7	0	4.75	0.875	0.5374838498865699	0	2	0	0	0	0	0	0.0	0.0	0.5	0	1	0	1	0	1	2	0	0	0	0	0	0.125	0.0	0.25	0	1	0	2	1
63	было три корзины	и не может понять	cause_r	3	4.666666666666667	0	3	0	4.666666666666667	1.0	4	3.5	0	4	0	3.5	1.0	0.6416889479197478	1	1	0	0	0	1	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0	0	2	0	0	0	0	0	0.0	0.0	0.5	0	1	0	1	0
64	осталось две	было три корзины	concession_r	2	5.5	0	2	0	5.5	1.0	3	4.666666666666667	0	3	0	4.666666666666667	1.0	0.5590169943749475	0	1	0	0	0	1	0	0.0	0.0	0.5	0	0	0	0	0	1	1	0	0	0	1	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0
65	куда девалось	было три корзины	restatement_r	2	6.0	0	2	0	6.0	1.0	3	4.666666666666667	0	3	0	4.666666666666667	1.0	0.5	0	1	0	1	0	0	0	0.0	0.0	0.5	0	0	0	0	0	1	1	0	0	0	1	0	0.3333333333333333	0.0	0.3333333333333333	0	0	0	0	0
66	и вдруг он видит мальчишек	человек собирает груши	sequence_m	5	4.4	0	5	0	4.4	1.0	3	6.666666666666667	0	3	0	6.666666666666667	1.0	0.7110268775888362	1	1	0	1	0	0	0	0.2	0.0	0.2	0	1	0	0	1	2	1	0	0	0	0	0	0.6666666666666666	0.0	0.3333333333333333	0	0	0	0	0
67	идущих по дороге и	и вдруг он видит мальчишек	elaboration_r	4	3.75	0	4	0	3.75	1.0	5	4.4	0	5	0	4.4	1.0	0.7071067811865476	1	1	0	0	0	0	0	0.25	0.0	0.25	1	1	0	0	0	1	1	0	1	0	0	0	0.2	0.0	0.2	0	1	0	0	1
68	но тоже груши он собирает	и вдруг он видит мальчишек	antithesis_r	5	4.2	0	5	0	4.2	1.0	5	4.4	0	5	0	4.4	1.0	0.7595545253127499	1	1	0	0	0	0	0	0.2	0.0	0.2	0	1	0	1	1	1	1	0	1	0	0	0	0.2	0.0	0.2	0	1	0	0	1
69	они показывают	что они такие зеленые жесткие	evidence_r	2	6.5	0	2	0	6.5	1.0	5	5.0	0	5	0	5.0	1.0	0.5872202195147035	0	1	0	0	0	0	0	0.0	0.0	0.5	0	0	0	0	1	0	0	2	0	0	0	0	0.0	0.4	0.0	0	0	1	0	1
70	что они такие зеленые жесткие	и вдруг он видит мальчишек	sequence_m	5	5.0	0	5	0	5.0	1.0	5	4.4	0	5	0	4.4	1.0	0.6767808379285568	0	0	2	0	0	0	0	0.0	0.4	0.0	0	0	1	0	1	1	1	0	1	0	0	0	0.2	0.0	0.2	0	1	0	0	1
71	и все	что они такие зеленые жесткие	antithesis_r	2	2.0	0	2	0	2.0	1.0	5	5.0	0	5	0	5.0	1.0	0.3713906763541037	0	0	0	0	0	0	0	0.0	0.0	0.0	0	1	0	0	1	0	0	2	0	0	0	0	0.0	0.4	0.0	0	0	1	0	1
72	но дети все едят и зеленые яблоки	что они такие зеленые жесткие	antithesis_r	7	3.857142857142857	0	7	0	3.857142857142857	1.0	5	5.0	0	5	0	5.0	1.0	0.7925085106466753	2	1	1	0	0	0	0	0.2857142857142857	0.14285714285714285	0.14285714285714285	0	1	0	2	0	0	0	2	0	0	0	0	0.0	0.4	0.0	0	0	1	0	1
73	и они проходят	но дети все едят и зеленые яблоки	sequence_m	3	4.0	0	3	0	4.0	1.0	7	3.857142857142857	0	7	0	3.857142857142857	1.0	0.5504818825631803	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	1	0	0	1	2	1	1	0	0	0	0	0.2857142857142857	0.14285714285714285	0.14285714285714285	0	1	0	2	0
74	и он удивлен	откуда у них	evaluation_r	3	3.3333333333333335	0	3	0	3.3333333333333335	1.0	3	3.3333333333333335	0	3	0	3.3333333333333335	1.0	0.7637626158259734	0	1	0	0	0	0	0	0.0	0.0	0.3333333333333333	0	1	0	0	1	0	0	0	1	0	0	0	0.0	0.0	0.0	1	0	0	0	1
75	откуда у них	и вдруг он видит мальчишек	evaluation_r	3	3.3333333333333335	0	3	0	3.3333333333333335	1.0	5	4.4	0	5	0	4.4	1.0	0.6201736729460423	0	0	0	1	0	0	0	0.0	0.0	0.0	1	0	0	0	1	1	1	0	1	0	0	0	0.2	0.0	0.2	0	1	0	0	1
76	потому что рядом че-то вроде бы там не пока	откуда у них	cause_r	9	3.888888888888889	0	9	0	3.888888888888889	1.0	3	3.3333333333333335	0	3	0	3.3333333333333335	1.0	0.06540383588525639	0	0	0	5	0	0	0	0.0	0.0	0.0	0	0	1	3	0	0	0	0	1	0	0	0	0.0	0.0	0.0	1	0	0	0	1
77	да еще хотела сказать	это или испания или италия	evidence_r	4	4.5	0	4	0	4.5	1.0	5	4.4	0	4	0	4.4	0.8	0.6201736729460423	0	2	0	1	0	0	0	0.0	0.0	0.5	0	1	0	0	0	2	0	0	0	0	0	0	0.4	0.0	0.0	0	2	0	0	1
78	наверняка это происходит не у нас в стране	да еще хотела сказать	joint_m	8	4.375	0	8	0	4.375	1.0	4	4.5	0	4	0	4.5	1.0	0.3309941601428739	1	1	0	1	0	0	0	0.125	0.0	0.125	2	0	0	1	2	0	2	0	1	0	0	0	0.0	0.0	0.5	0	1	0	0	0
79	потому что э вот этот платок принадлежность да вот мужские	да еще хотела сказать	evidence_r	10	4.9	0	9	0	4.9	0.9	4	4.5	0	4	0	4.5	1.0	0.14988729714689178	2	0	1	1	0	0	0	0.2	0.1	0.0	0	1	1	2	0	0	2	0	1	0	0	0	0.0	0.0	0.5	0	1	0	0	0
80	я сначала даже думала	что может быть какая-то американская это южная	evaluation_r	4	4.5	0	4	0	4.5	1.0	7	5.714285714285714	0	7	0	5.714285714285714	1.0	0.5897678246195885	0	1	0	1	0	0	0	0.0	0.0	0.25	0	0	0	1	1	0	2	2	0	0	0	0	0.0	0.2857142857142857	0.2857142857142857	0	0	1	0	1
81	что может быть какая-то американская это южная	это или испания или италия	joint_m	7	5.714285714285714	0	7	0	5.714285714285714	1.0	5	4.4	0	4	0	4.4	0.8	0.3519543012908537	0	2	2	0	0	0	0	0.0	0.2857142857142857	0.2857142857142857	0	0	1	0	1	2	0	0	0	0	0	0	0.4	0.0	0.0	0	2	0	0	1
