EDU_1;EDU_2;Relation
им только что зафигарили ещё две хорды.;Так мало того, бедняги в 8 округе разбомблены не только большой Ленинградкой,;contrast_m
Это полнейшее издевательство,;Так мало того, бедняги в 8 округе разбомблены не только большой Ленинградкой,;evaluation_r
её проектировал садист.;Это полнейшее издевательство,;joint_m
Сколько тут до окон, 20 метров?;Это просто безумие;solutionhood_r
Это просто безумие;Это полнейшее издевательство,;evidence_r
Кто знает, сколько ещё дорог понатыкает в городе безумное строительное лобби;Собянин все эти адовые развязки открывает самолично,;solutionhood_r
при поддержке Собянина?;Кто знает, сколько ещё дорог понатыкает в городе безумное строительное лобби;condition_r
Собянин все эти адовые развязки открывает самолично,;Так мало того, бедняги в 8 округе разбомблены не только большой Ленинградкой,;evaluation_r
он считает это благом для города.;Собянин все эти адовые развязки открывает самолично,;joint_m
Посмотрите только.;Собянин все эти адовые развязки открывает самолично,;evidence_r
Было/стало;Посмотрите только.;elaboration_r
Мы придём к этому решению,;Нам необходимо начать в обществе дискуссию про демонтаж хайвеев.;elaboration_r
Сеул пришёл,;у нас тоже это будет.;cause_r
в США приходят,;Сеул пришёл,;joint_m
в Европе сносят хайвеи,;Сеул пришёл,;joint_m
у нас тоже это будет.;Мы придём к этому решению,;elaboration_r
Но кто-то должен эту дискуссию стартовать.;Мы придём к этому решению,;contrast_m
И это будем мы.;Но кто-то должен эту дискуссию стартовать.;elaboration_r
8 округ неплохой в плане голосования за демократов,;и только на один сбор подписей нужно более 2 миллионов рублей.;cause_r
но он огромный,;8 округ неплохой в плане голосования за демократов,;contrast_m
и только на один сбор подписей нужно более 2 миллионов рублей.;Я не уверен насчёт перспектив на этих выборах в Мосгордуму.;elaboration_r
Я не знаю, удастся ли выиграть,;Я не уверен насчёт перспектив на этих выборах в Мосгордуму.;evaluation_r
но мы должны использовать этот момент,;Я не знаю, удастся ли выиграть,;contrast_m
чтобы начать общественную дискуссию про снос всего этого ужаса,;но мы должны использовать этот момент,;purpose_r
и мы это сделаем.;но мы должны использовать этот момент,;joint_m
В этом округе на выборах будет Горпроектовский кандидат — архитектор Дарья Беседина.;Я не уверен насчёт перспектив на этих выборах в Мосгордуму.;elaboration_r
Конечно, нам нужно ещё пройти через процедуру выдвижения в Яблоке;В этом округе на выборах будет Горпроектовский кандидат — архитектор Дарья Беседина.;elaboration_r
(Дарья член партии и я тоже),;Конечно, нам нужно ещё пройти через процедуру выдвижения в Яблоке;elaboration_r
нужно собрать подписи.;Конечно, нам нужно ещё пройти через процедуру выдвижения в Яблоке;sequence_m
Но мы попробуем.;В этом округе на выборах будет Горпроектовский кандидат — архитектор Дарья Беседина.;contrast_m
